#.ttime_rel	Q	CODt	CODs	TSS	NH4	PO4
#d	m3/h	g/m3	g/m3	g/m3	g/m3	g/m3
320.20486	5135.055664	527.370116848	211.294209088	264.224268381	39.481607435	6.79
320.20833	544.7619019	605.134645398	204.545530509	302.277202728	39.2934155438	6.58
320.21181	5407.362793	551.389175681	224.992450815	198.206799902	39.1052236525	6.5744446
320.21528	5318.495605	549.261764807	217.834849399	210.847881467	38.9170317613	6.5612847
320.21875	5278.856934	563.509350105	215.081696023	240.27732366	38.72883987	6.5481248
320.22222	696.2426758	544.261949268	188.404801499	254.039587919	39.46533203	6.5349649
320.22569	5529.006348	522.101532228	209.741233847	198.371648244	40.53955078	6.521805
320.22917	5453.990723	536.837858961	201.758126707	183.690944452	41.2109375	6.508645
320.23264	2473.604736	487.545136365	166.257787557	230.162757601	40.637207032	6.4954851
320.23611	519.6434326	541.501431552	201.532387383	209.415499694	40.063476564	6.4823252
320.23958	5502.382324	498.300325881	200.771212692	177.634137321	39.489746096	6.4691653
320.24306	5301.850098	489.979538556	196.349952889	180.68436608	38.916015628	6.4560054
320.24653	424.2719116	511.450608191	201.869507955	170.041459619	38.34228516	6.4428455
320.25	693.8756104	488.127694463	181.016351617	173.178773515	40.57617188	6.2928837
320.25347	5658.152344	474.919774844	198.418221773	140.682457052	40.60058594	6.2800038
320.25694	5186.3125	480.39069023	206.848502041	141.523538668	39.737957	6.2671239
320.26042	910.2515869	483.431980299	187.962715539	158.154624849	39.40429688	6.254244
320.26389	3218.487549	452.755257363	165.56978395	165.306172724	38.33007813	6.2413641
320.26736	5671.143555	471.04440571	205.701039542	132.326336031	38.28125	6.2284841
320.27083	3461.679199	488.328597119	232.520185919	109.166695301	39.87630081	6.2156042
320.27431	929.8948975	466.107930742	192.042742899	149.915995715	41.16210938	6.2027243
320.27778	3020.751953	433.627468987	164.899446773	151.292579475	40.35644531	6.1898444
320.28125	5549.532227	468.498372368	200.267965926	134.045148824	39.50195313	6.1769645
320.28472	3219.803711	499.467340658	233.309083421	115.122622915	38.06152344	6.1640846
320.28819	3103.027588	441.182275927	161.897631992	158.099754964	38.00048828	6.1512046
320.29167	3131.125732	446.099822181	166.947107228	159.184905561	38.671875	5.938162
320.29514	3339.86499	498.40344088	232.325487559	125.103587674	40.90576172	5.925702
320.29861	2191.630371	439.850499925	159.883053715	162.846083887	40.60058594	5.9132421
320.30208	2885.70459	436.515819254	155.5320564	164.508157111	39.81933594	5.9007822
320.30556	3202.144043	489.679864404	229.997122428	112.885461189	38.41959763	5.8883223
320.30903	3096.762207	484.426675503	230.116137258	105.441182188	38.29345703	5.8758624
320.3125	2925.720947	443.935793612	155.208115559	169.760197638	39.30664063	5.8634024
320.31597	2912.151367	442.135461156	158.914939007	163.647022946	40.39306641	5.8509425
320.31944	3466.83374	469.127077719	226.951798568	107.35620593	39.63623047	5.8384826
320.32292	5231.179199	455.806923705	192.717287779	129.910042653	39.36767578	5.8260227
320.32639	2892.117432	471.105717505	156.418298551	163.705312053	38.54980469	5.8135628
320.32986	642.7681274	465.486865631	170.833034203	174.917318787	37.65869141	5.8011028
320.33333	3403.043213	444.997703553	211.490735328	98.7360655612	37.60986328	5.6585611
320.33681	5416.009766	440.659104482	185.747636876	125.884185428	38.57421875	5.6463811
320.34028	1653.693481	461.4491159	153.564028068	180.709216985	39.01367188	5.6342012
320.34375	809.7050781	465.177548897	172.14496144	167.277110009	38.54980469	5.6220213
320.34722	5589.961426	437.153761838	181.332445998	134.917344041	36.40136719	5.6098414
320.35069	5421.138184	442.046252907	186.590433897	124.980954407	36.08398438	5.5976614
320.35417	649.0133057	459.226547236	174.673008963	157.431742727	35.80729294	5.5854815
320.35764	887.7330322	787.917060539	333.951023265	226.148142504	36.49902344	5.5733016
320.36111	5278.347656	458.28682203	181.732149249	129.65219679	36.53564453	5.5611217
320.36458	3145.729492	453.13926549	212.872961579	103.115000532	36.09619141	5.5489418
320.36806	731.4545898	463.436662951	168.914627668	160.688721271	35.82763672	5.5367618
320.37153	2957.014648	508.243523221	151.619076559	171.643830575	35.04638672	5.5245819
320.375	3610.721436	452.452892299	206.813964722	107.907507909	34.269207	5.7658458
320.37847	3237.304932	450.717602071	200.255259271	114.144954376	35.37597656	5.7531058
320.38194	2989.266602	449.009187807	155.263673163	166.767439884	35.88867188	5.7403659
320.38542	2845.325439	441.854798775	157.878378847	158.868764725	35.90087891	5.727626
320.38889	3355.984863	452.533327492	207.029783875	101.869590249	34.93652344	5.7148861
320.39236	460.2604675	459.352728307	176.794260877	147.689541354	33.59375	5.7021462
320.39583	3108.664307	439.791098436	141.792233031	170.70333683	33.30078125	5.6894062
320.39931	767.4090576	1601.91477435	715.703081178	401.474582891	34.83886719	5.6766663
320.40278	3425.215576	452.992650915	204.308337072	106.515531809	35.03417969	5.6639264
320.40625	3027.246338	459.466089773	147.505432935	151.849754592	34.871418	5.6511865
320.40972	2901.054443	448.900150218	155.163735707	148.926187182	33.86230469	5.6384466
320.41319	3243.698975	471.428023445	215.192633092	112.886703181	33.21533203	5.6257067
320.41667	3492.071045	459.246004644	205.072052332	109.329317676	33.10546875	6.2914572
320.42014	2767.219971	438.352027345	155.595504318	166.165810472	33.37402344	6.2771773
320.42361	661.8460693	473.891066557	172.768458833	164.811666634	35.3515625	6.2628974
320.42708	3078.709229	474.069289018	219.175879352	109.949186051	34.93652344	6.2486175
320.43056	5636.039063	450.836659456	185.125856495	130.78000853	34.03320313	6.2343376
320.43403	949.9666138	495.646811797	170.95338193	152.022370565	33.44726563	6.2200577
320.4375	887.2200317	463.374088497	174.756017002	153.704816539	33.12988281	6.2057778
320.44097	5656.635254	450.842441614	182.0929965	145.793819597	33.99658203	6.1914979
320.44444	5313.623535	473.414347318	185.113545853	159.357079527	34.94873047	6.177218
320.44792	995.6116333	462.868695806	169.465584539	162.151009918	34.68017578	6.162938
320.45139	719.1500854	480.254550456	193.963526144	149.13827147	34.72900391	6.1486581
320.45486	5634.147461	461.969333469	186.789068563	138.205553957	33.77278519	6.1343782
320.45833	3199.848145	491.032679508	218.311106277	125.919919134	33.23974609	6.5401051
320.46181	816.2108154	464.788970261	166.044431789	174.282084213	33.32519531	6.5248452
320.46528	5453.914551	473.583223121	195.121162398	141.28056485	35.25390625	6.5095853
320.46875	5263.942383	481.156849439	197.978501864	145.520915404	35.36783981	6.4943254
320.47222	3270.980957	522.686142872	223.280708554	153.964870527	35.30273438	6.4790655
320.47569	848.03302	461.937864489	172.60158161	161.01720023	35.22949219	6.4638056
320.47917	5194.132324	489.189345078	185.554822301	172.626794265	34.79003906	6.4485457
320.48264	3386.963135	545.184167757	219.390651914	170.807034856	34.53369141	6.4332857
320.48611	3152.377197	550.196755226	218.878444197	180.56806068	35.75439453	6.4180258
320.48958	5431.970703	497.564525015	191.998501852	167.458470335	37.36572266	6.4027659
320.49306	2914.205078	443.240947811	152.015246324	170.294182368	37.29248047	6.387506
320.49653	3530.905029	585.496780761	238.911419202	196.258066295	37.23144531	6.3722461
320.5	3199.961914	582.93817591	228.524015762	200.196396852	36.74316406	6.5902701
320.50347	5679.591309	527.666269059	196.400651689	180.930293966	36.64550781	6.5744502
320.50694	3166.149658	603.664278625	241.937575159	201.290917127	38.18359375	6.5586303
320.51042	3205.935791	597.887999123	248.520485136	187.584316626	39.59960938	6.5428104
320.51389	5551.700684	519.165265269	199.088030322	175.90492017	39.099121095	6.5269905
320.51736	5257.664063	527.623177967	204.719077865	182.294552124	38.59863281	6.5111706
320.52083	3170.427979	596.899569388	243.020989634	194.56375476	38.51318359	6.4953507
320.52431	3273.00708	594.898086227	240.960609445	191.854114793	38.671875	6.4795308
